region,division,classification,position,status,item_status,number
Region VIII - Eastern Visayas,Division of Leyte,Teaching Personnel,Teacher III,Filled,Regular,9114
Region VII - Central Visayas,Division of Cebu Province,Teaching Personnel,Teacher III,Filled,Regular,8865
Region VII - Central Visayas,Division of Cebu Province,Teaching Personnel,Teacher I,Filled,Regular,8845
Region II - Cagayan Valley,Division of Isabela,Teaching Personnel,Teacher III,Filled,Regular,8620
Region VII - Central Visayas,Division of Bohol,Teaching Personnel,Teacher III,Filled,Regular,7876
Region IVA - CALABARZON,Division of Rizal,Teaching Personnel,Teacher I,Filled,Regular,7823
Region II - Cagayan Valley,Division of Cagayan,Teaching Personnel,Teacher III,Filled,Regular,7425
Region III - Central Luzon,Division of Nueva Ecija,Teaching Personnel,Teacher III,Filled,Regular,7023
Region VI - Western Visayas,Division of Iloilo,Teaching Personnel,Teacher III,Filled,Regular,6748
Region IVA - CALABARZON,Division of Batangas,Teaching Personnel,Teacher III,Filled,Regular,6517
Region IVA - CALABARZON,Division of Quezon,Teaching Personnel,Teacher I,Filled,Regular,6369
Region III - Central Luzon,Division of Bulacan,Teaching Personnel,Teacher I,Filled,Regular,5976
Region V - Bicol,Division of Camarines Sur,Teaching Personnel,Teacher III,Filled,Regular,5970
Region III - Central Luzon,Division of Bulacan,Teaching Personnel,Teacher III,Filled,Regular,5910
Region VI - Western Visayas,Division of Iloilo,Teaching Personnel,Teacher I,Filled,Regular,5801
Region IVA - CALABARZON,Division of Cavite,Teaching Personnel,Teacher I,Filled,Regular,5617
Region III - Central Luzon,Division of Pampanga,Teaching Personnel,Teacher III,Filled,Regular,5614
Region I - Ilocos,Division of Pangasinan II,Teaching Personnel,Teacher III,Filled,Regular,5568
Negros Island Region (NIR),Division of Negros Occidental,Teaching Personnel,Teacher I,Filled,Regular,5547
National Capital Region (NCR),Division of Quezon City,Teaching Personnel,Teacher III,Filled,Regular,5350
Region V - Bicol,Division of Camarines Sur,Teaching Personnel,Teacher I,Filled,Regular,5294
Region IVA - CALABARZON,Division of Quezon,Teaching Personnel,Teacher II,Filled,Regular,5241
Region IVB - MIMAROPA,Division of Palawan,Teaching Personnel,Teacher I,Filled,Regular,5057
National Capital Region (NCR),Division of Quezon City,Teaching Personnel,Teacher I,Filled,Regular,5011
Region XII - SOCCSKSARGEN,Division of Cotabato,Teaching Personnel,Teacher I,Filled,Regular,5010
Region X - Northern Mindanao,Division of Bukidnon,Teaching Personnel,Teacher I,Filled,Regular,4933
