region,sdo,size,authorized_position,total_enrolment,teacher_count,school_count,classroom_count,psds_count,districts_count,legdist_count,locality,locality_classification,fixed_cost,schools_multiplier,teacher_multiplier,classroom_multiplier,enrolment_multiplier,staff_multiplier,total_mooe,district_school_ratio,excess_school,additional_districts_needed,latitude,longitude,match_key
CAR,Abra,M,84,"47,230","2,740",317,2870,10,28,1,Province,,"2,400,000","3,120",1430,143,8,12000,"10,465,000",420,-52,-3,17.58,120.8,car_abra
CAR,Apayao,M,84,"26,736","1,584",200,1754,10,8,1,Province,,"2,400,000","3,120",1430,143,8,12000,"8,019,000",120,119,8,18.3424033,121.3694875,car_apayao
CAR,Baguio City,M,84,"57,387","2,441",67,2066,10,3,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"9,023,000",45,42,3,16.4030385,120.6044357,car_baguio
CAR,Benguet,M,84,"82,140","4,359",430,4429,10,14,2,Province,,"2,400,000","3,120",1430,143,8,12000,"13,136,000",210,313,21,16.4122578,120.6403079,car_benguet
CAR,Ifugao,M,84,"40,036","2,183",266,2188,10,12,1,Province,,"2,400,000","3,120",1430,143,8,12000,"9,480,000",180,120,8,16.7987818,121.1232633,car_ifugao
CAR,Kalinga,M,84,"23,076","1,465",193,1018,10,9,1,Province,,"2,400,000","3,120",1430,143,8,12000,"7,769,000",135,90,6,17.4124,121.4423,car_kalinga
CAR,Mt. Province,M,84,"32,621","2,251",266,1729,10,12,1,Province,,"2,400,000","3,120",1430,143,8,12000,"9,644,000",180,115,8,17.095941,120.9782002,car_mt
CAR,Tabuk City,M,84,"27,193","1,273",103,1241,10,10,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,159,000",150,-24,-2,17.4192149,121.4439381,car_tabuk
Caraga,Agusan Del Norte,M,84,"69,973","3,267",209,3054,10,17,2,Province,,"2,400,000","3,120",1430,143,8,12000,"10,817,000",255,3,0,9.074611,125.4783619,caraga_agusandelnorte
Caraga,Agusan Del Sur,M,84,"158,739","7,365",520,6373,10,30,2,Province,,"2,400,000","3,120",1430,143,8,12000,"19,752,000",450,178,12,8.55072,125.9371369,caraga_agusandelsur
Caraga,Bayugan City,S,61,"25,856","1,228",71,1111,0,5,3,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,644,000",75,9,1,8.7176196,125.7536896,caraga_bayugan
Caraga,Bislig City,M,84,"20,219",988,70,1026,10,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,762,000",60,24,2,8.2125882,126.3150725,caraga_bislig
Caraga,Butuan City,M,84,"84,500","3,499",138,2697,10,13,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"11,279,000",195,-5,0,8.921773,125.5409258,caraga_butuan
Caraga,Cabadbaran City,S,61,"18,239",763,35,614,0,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,090,000",60,-14,-1,9.1233488,125.5323807,caraga_cabadbaran
Caraga,Dinagat Island,M,84,"27,747","1,495",144,1595,10,8,1,Province,,"2,400,000","3,120",1430,143,8,12000,"7,564,000",120,54,4,10.1577932,125.5851827,caraga_dinagatisland
Caraga,Siargao,M,84,"34,098","1,497",145,1730,10,12,1,Province,,"2,400,000","3,120",1430,143,8,12000,"7,931,000",180,-11,-1,9.9037596,126.0507404,caraga_siargao
Caraga,Surigao City,M,84,"32,487","1,349",87,1174,10,8,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,361,000",120,-11,-1,9.7854041,125.4875527,caraga_surigao
Caraga,Surigao del Norte,M,84,"61,698","2,816",202,2691,10,13,1,Province,,"2,400,000","3,120",1430,143,8,12000,"10,081,000",195,41,3,9.786602,125.4921244,caraga_surigaodelnorte
Caraga,Surigao del Sur,M,84,"121,479","5,363",453,4632,10,24,2,Province,,"2,400,000","3,120",1430,143,8,12000,"16,046,000",360,234,16,9.084,126.2,caraga_surigaodelsur
Caraga,Tandag City,S,61,"15,964",600,32,438,0,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,163,000",30,11,1,9.0803204,126.1969401,caraga_tandag
MIMAROPA,Calapan City,M,84,"30,603","1,326",59,1071,10,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,036,000",45,24,2,13.4146079,121.1793009,mimaropa_calapan
MIMAROPA,Marinduque,M,84,"54,280","2,713",229,3168,10,9,1,Province,,"2,400,000","3,120",1430,143,8,12000,"10,498,000",135,132,9,13.4765151,122.0276023,mimaropa_marinduque
MIMAROPA,Occidental Mindoro,M,84,"132,884","5,357",366,4680,10,14,1,Province,,"2,400,000","3,120",1430,143,8,12000,"15,521,000",210,190,13,13.2192006,120.6052944,mimaropa_occidentalmindoro
MIMAROPA,Oriental Mindoro,M,84,"172,004","7,461",549,7405,10,18,2,Province,,"2,400,000","3,120",1430,143,8,12000,"20,123,000",270,352,23,13.4049921,121.1769094,mimaropa_orientalmindoro
MIMAROPA,Palawan,L,142,"252,886","10,341",840,9904,33,35,2,Province,,"2,400,000","3,120",1430,143,8,12000,"28,100,000",525,415,28,9.4329014,118.5497087,mimaropa_palawan
MIMAROPA,Puerto Princesa City,M,84,"69,314","2,579",101,2107,10,3,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"9,050,000",45,79,5,9.7808779,118.730191,mimaropa_puertoprincesa
MIMAROPA,Romblon,M,84,"74,039","3,766",270,3799,10,13,1,Province,,"2,400,000","3,120",1430,143,8,12000,"12,049,000",195,112,7,12.5758425,122.2699465,mimaropa_romblon
NCR,Caloocan City,L,142,"257,595","9,241",89,4865,33,7,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"22,504,000",105,2,0,14.7321311,121.0237141,ncr_caloocan
NCR,City of San Juan,S,61,"11,492",482,13,526,0,2,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"4,880,000",30,-12,-1,14.6043894,121.0290545,ncr_sanjuan
NCR,Las Piñas City,M,84,"86,663","3,778",40,1528,10,2,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"11,281,000",30,13,1,14.4754196,120.9779967,ncr_laspias
NCR,Makati City,M,84,"30,667","1,484",23,1113,10,5,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"8,425,000",75,-51,-3,14.5596508,121.043152,ncr_makati
NCR,Malabon City,M,84,"67,235","2,665",42,1206,10,5,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"9,523,000",75,-19,-1,14.6578504,120.9511261,ncr_malabon
NCR,Mandaluyong City,M,84,"50,855","2,135",24,1823,10,2,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"8,689,000",30,14,1,14.5820092,121.0494407,ncr_mandaluyong
NCR,Manila,L,142,"241,414","11,020",105,8288,33,39,6,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"30,562,000",585,-452,-30,14.5936428,120.9822135,ncr_manila
NCR,Marikina City,M,84,"74,037","2,887",33,1899,10,2,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"10,009,000",30,18,1,14.6307718,121.0977952,ncr_marikina
NCR,Muntinlupa City,M,84,"82,591","2,753",28,1934,10,2,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"9,470,000",30,3,0,14.3877931,121.0467708,ncr_muntinlupa
NCR,Navotas,M,84,"44,327","1,769",25,737,10,2,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"7,865,000",30,2,0,14.6580719,120.9478944,ncr_navotas
NCR,Paranaque City,M,84,"98,767","3,386",43,2209,10,3,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"10,497,000",45,7,0,14.4910175,120.9897141,ncr_paranaque
NCR,Pasay City,M,84,"63,578","2,386",29,2062,10,4,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"9,244,000",60,-19,-1,14.5449443,121.001437,ncr_pasay
NCR,Pasig City,M,84,"138,234","4,803",44,4335,10,5,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"13,322,000",75,-21,-1,14.5608395,121.0787971,ncr_pasig
NCR,Quezon City,L,142,"404,037","14,817",157,9263,33,20,6,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"34,756,000",300,-105,-7,14.658763,121.026885,ncr_quezon
NCR,Taguig City and Pateros,M,84,"189,558","6,981",62,3865,10,5,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"16,627,000",75,14,1,14.4883803,121.0474888,ncr_taguigcity
NCR,Valenzuela City,M,84,"127,003","4,522",70,2729,10,4,2,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"12,658,000",60,27,2,14.6757772,120.9847396,ncr_valenzuela
NIR,Bacolod City,M,84,"109,672","4,075",70,3366,10,7,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"11,853,000",105,-12,-1,10.6650008,122.9428036,nir_bacolod
NIR,Bago City,M,84,"35,648","1,439",47,1404,10,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,780,000",60,-6,0,10.5379502,122.8376699,nir_bago
NIR,Bais City,S,61,"19,814","1,011",57,834,0,2,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,574,000",30,63,4,9.5943402,123.118047,nir_bais
NIR,Bayawan City,M,84,"44,023","1,677",105,1487,10,3,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,672,000",45,87,6,9.3610518,122.8138486,nir_bayawan
NIR,Cadiz City,M,84,"38,666","1,542",69,1296,10,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,586,000",60,27,2,10.9573736,123.3101028,nir_cadiz
NIR,Canlaon City,S,61,"14,304",518,38,396,0,1,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,665,000",15,31,2,10.3889263,123.2182149,nir_canlaon
NIR,Dumaguete City,S,61,"24,435",925,26,555,0,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,446,000",45,-14,-1,9.3137484,123.2880791,nir_dumaguete
NIR,Escalante City,S,61,"24,330","1,033",42,749,0,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,118,000",30,30,2,10.8535019,123.4846677,nir_escalante
NIR,Guihulngan City,S,61,"34,258","1,347",104,1012,0,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,353,000",45,78,5,10.1186593,123.2688693,nir_guihulngan
NIR,Himamaylan City,M,84,"27,168","1,138",57,935,10,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,561,000",30,48,3,10.0991365,122.8712795,nir_himamaylan
NIR,Kabankalan City,M,84,"48,378","1,966",95,1819,10,5,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,312,000",75,40,3,9.9884097,122.8151182,nir_kabankalan
NIR,La Carlota City,S,61,"16,908",796,31,937,0,3,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,435,000",45,-10,-1,10.4255665,122.9174696,nir_lacarlota
NIR,Negros Occidental,L,142,"283,432","11,718",576,11577,33,31,7,Province,,"2,400,000","3,120",1430,143,8,12000,"33,147,000",465,211,14,10.8,122.978,nir_negrosoccidental
NIR,Negros Oriental,L,142,"172,242","7,130",516,6323,33,19,3,Province,,"2,400,000","3,120",1430,143,8,12000,"21,690,000",285,334,22,9.3131444,123.3011085,nir_negrosoriental
NIR,Sagay City,M,84,"37,561","1,565",67,1544,10,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,499,000",45,39,3,10.8781434,123.4166693,nir_sagay
NIR,San Carlos City,M,84,"29,527","1,295",65,1177,10,5,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,164,000",75,3,0,10.4853818,123.4170551,nir_sancarlos
NIR,Silay City,M,84,"27,840","1,178",40,1067,10,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,989,000",60,2,0,10.7965165,122.9742204,nir_silay
NIR,Sipalay City,M,84,"19,273",833,49,787,10,2,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,038,000",30,35,2,9.7491304,122.4088443,nir_sipalay
NIR,Siquijor,M,84,"20,175","1,033",78,885,10,5,1,Province,,"2,400,000","3,120",1430,143,8,12000,"6,808,000",75,29,2,9.2529195,123.5946295,nir_siquijor
NIR,Tanjay City,S,61,"25,262","1,148",95,1102,0,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,601,000",60,58,4,9.5120403,123.1599914,nir_tanjay
NIR,Victorias City,S,61,"21,975",820,26,864,0,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,087,000",30,2,0,10.8984987,123.0729747,nir_victorias
Region I,Alaminos City,S,61,"21,453",910,46,949,0,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,597,000",45,11,1,16.1448779,119.9899546,regioni_alaminos
Region I,Batac City,S,61,"8,874",431,33,495,0,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,819,000",30,6,0,18.0707502,120.5848245,regioni_batac
Region I,Candon City,S,61,"11,520",569,34,567,0,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"4,940,000",30,12,1,17.1656592,120.4414933,regioni_candon
Region I,Dagupan City,M,84,"33,373",1423,39,1173,10,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,410,000",60,-10,-1,16.0422413,120.3331498,regioni_dagupan
Region I,Ilocos Norte,M,84,"76,943",4246,364,5804,10,20,2,Province,,"2,400,000","3,120",1430,143,8,12000,"13,550,000",300,133,9,18.20506,120.5941444,regioni_ilocosnorte
Region I,Ilocos Sur,M,84,"99,329",5326,506,6240,10,23,2,Province,,"2,400,000","3,120",1430,143,8,12000,"16,191,000",345,258,17,17.5769301,120.3907861,regioni_ilocossur
Region I,La Union,M,84,"126,945",6131,386,6175,10,22,2,Province,,"2,400,000","3,120",1430,143,8,12000,"16,892,000",330,173,12,16.6198806,120.3276363,regioni_launion
Region I,Laoag City,S,61,"20,499",951,40,1317,0,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,188,000",45,5,0,18.1950211,120.5917627,regioni_laoag
Region I,"Pangasinan I, Lingayen",L,142,"290,901",12919,662,11923,33,31,3,Province,,"2,400,000","3,120",1430,143,8,12000,"32,102,000",465,374,25,16.0320816,120.2331212,regioni_pangasinanilingayen
Region I,"Pangasinan II, Binalonan",L,142,"231,029",10397,561,10398,33,32,3,Province,,"2,400,000","3,120",1430,143,8,12000,"26,920,000",480,238,16,16.0527526,120.5882196,regioni_pangasinaniibinalonan
Region I,San Carlos City,M,84,"43,142",1886,76,1278,10,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"8,116,000",60,40,3,15.9258241,120.3476878,regioni_sancarlos
Region I,San Fernando City,S,61,"19,743",882,33,716,0,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,473,000",30,21,1,16.6158806,120.3236363,regioni_sanfernando
Region I,Urdaneta City,M,84,"30,604",1341,64,1177,10,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,226,000",30,62,4,15.9778108,120.5632534,regioni_urdaneta
Region I,Vigan City,S,61,"13,422",680,21,591,0,3,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,068,000",45,-20,-1,17.5755487,120.3872632,regioni_vigan
Region II,Batanes,S,61,"3,902",426,27,433,0,5,1,Province,,"2,400,000","3,120",1430,143,8,12000,"4,815,000",75,-37,-2,20.4507421,121.9713786,regionii_batanes
Region II,Cagayan,L,142,"225,245",10847,810,11296,33,49,3,Province,,"2,400,000","3,120",1430,143,8,12000,"28,099,000",735,223,15,17.6547824,121.7457222,regionii_cagayan
Region II,Cauayan City,S,61,"32,748",1315,80,1204,0,5,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,558,000",75,21,1,16.9290524,121.7330415,regionii_cauayan
Region II,City of Ilagan,S,61,"32,793",1492,98,1567,0,6,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,239,000",90,32,2,17.1439812,121.887014,regionii_ilagan
Region II,Isabela,L,142,"252,186",11955,884,11895,33,43,4,Province,,"2,400,000","3,120",1430,143,8,12000,"30,785,000",645,426,28,17.1439812,121.887014,regionii_isabela
Region II,Nueva Vizcaya,M,84,"103,132",4681,384,4982,10,23,1,Province,,"2,400,000","3,120",1430,143,8,12000,"14,015,000",345,100,7,16.4801097,121.145374,regionii_nuevavizcaya
Region II,Quirino,M,84,"45,269",2367,187,2417,10,8,1,Province,,"2,400,000","3,120",1430,143,8,12000,"9,209,000",120,139,9,16.5131928,121.5222792,regionii_quirino
Region II,Santiago City,S,61,"30,584",1103,41,1005,0,4,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"6,336,000",60,1,0,16.6847666,121.5514791,regionii_santiago
Region II,Tuguegarao City,M,84,"33,455",1358,35,1169,10,4,2,City,Component City,"2,400,000","3,120",1430,143,8,12000,"7,029,000",60,-9,-1,17.6341708,121.7269417,regionii_tuguegarao
Region III,Angeles City,M,84,"86,173",3147,52,2301,10,4,1,City,Highly Urbanized,"2,400,000","3,120",1430,143,8,12000,"10,164,000",60,14,1,15.1362624,120.594511,regioniii_angeles
Region III,Aurora,M,84,"53,532",2446,176,2754,10,8,1,Province,,"2,400,000","3,120",1430,143,8,12000,"9,438,000",120,100,7,16.0474764,121.6700916,regioniii_aurora
Region III,Balanga City,S,61,"25,313",934,24,936,0,2,1,City,Component City,"2,400,000","3,120",1430,143,8,12000,"5,352,000",30,5,0,14.6813961,120.546409,regioniii_balanga
Region III,Bataan,M,84,"156,928",15545,215,5948,10,12,2,Province,,"2,400,000","3,120",1430,143,8,12000,"15,332,000",180,417,28,14.7280818,120.5228374,regioniii_bataan
